#,tenure,tenure_cat,PhoneService,MultipleLines,MonthlyCharges,TotalCharges,Churn
975,59,Cat 6,1,0,75.95,4542.35,No
1076,59,Cat 6,1,1,96.65,5580.8,No
1079,59,Cat 6,1,1,79.2,4590.35,No
1269,59,Cat 6,1,1,110.15,6448.05,Yes
1285,59,Cat 6,1,0,19.85,1188.25,No
1328,59,Cat 6,1,1,99.5,5961.1,Yes
1366,59,Cat 6,0,0,41.05,2452.7,Yes
1530,59,Cat 6,1,0,18.4,1057.85,No
1647,59,Cat 6,1,1,65.5,3801.3,No
1845,59,Cat 6,1,0,66.4,3958.2,No
1926,59,Cat 6,1,1,72.1,4194.85,No
2167,59,Cat 6,1,1,94.05,5483.9,No
2430,59,Cat 6,1,0,82.95,4903.15,No
2481,59,Cat 6,1,1,93.85,5574.75,Yes
2664,59,Cat 6,1,1,109.15,6557.75,No
2968,59,Cat 6,1,1,113.75,6561.25,No
2972,59,Cat 6,1,1,90.3,5194.05,No
3016,59,Cat 6,1,0,86.75,5186,No
3502,59,Cat 6,1,1,76.45,4519.5,No
3576,59,Cat 6,0,0,51.7,3005.8,No
3699,59,Cat 6,1,1,83.25,4949.1,No
3916,59,Cat 6,1,0,81.25,4639.45,No
3960,59,Cat 6,1,0,61.35,3645.5,No
4038,59,Cat 6,1,1,25.45,1534.05,No
4041,59,Cat 6,0,0,34.8,1980.3,No
4044,59,Cat 6,0,0,64.05,3886.85,No
4113,59,Cat 6,1,1,99.45,5623.7,No
4160,59,Cat 6,1,1,89.75,5496.9,No
4355,59,Cat 6,1,0,20.2,1192.3,No
4480,59,Cat 6,1,1,24.45,1493.1,No
4697,59,Cat 6,1,0,95.8,5655.45,No
4789,59,Cat 6,1,1,54.15,3116.15,No
4959,59,Cat 6,1,1,94.75,5597.65,No
5203,59,Cat 6,1,1,111.1,6555.2,No
5263,59,Cat 6,1,1,68.7,4070.95,No
5522,59,Cat 6,1,0,64.65,3735.45,No
5545,59,Cat 6,1,1,106.75,6252.9,Yes
5750,59,Cat 6,1,1,99.5,5890,No
5890,59,Cat 6,0,0,50.25,2997.45,No
5919,59,Cat 6,1,0,19.5,1147.85,No
6066,59,Cat 6,1,1,25,1510.5,No
6070,59,Cat 6,1,0,76.75,4541.9,No
6083,59,Cat 6,1,1,101.1,6039.9,Yes
6172,59,Cat 6,1,1,88.75,5348.65,No
6201,59,Cat 6,1,0,19.5,1222.65,No
6246,59,Cat 6,1,1,80.1,4693.2,No
6292,59,Cat 6,1,1,79.85,4786.1,No
6456,59,Cat 6,0,0,44.3,2666.75,No
6464,59,Cat 6,1,1,69.1,4096.9,No
6466,59,Cat 6,1,0,20.6,1286,No
6628,59,Cat 6,1,0,20.35,1267,No
6672,59,Cat 6,1,0,100.05,6034.85,No
6705,59,Cat 6,1,1,106.15,6256.2,No
6821,59,Cat 6,1,1,93.35,5386.5,No
13,58,Cat 6,1,1,100.35,5681.1,No
24,58,Cat 6,1,1,59.9,3505.1,No
169,58,Cat 6,0,0,45.3,2651.2,Yes
363,58,Cat 6,1,0,50.3,2878.55,No
528,58,Cat 6,1,1,94.7,5430.35,No
713,58,Cat 6,1,1,24.7,1519,No
811,58,Cat 6,1,1,103.25,6017.65,Yes
973,58,Cat 6,1,0,70.1,4048.95,No
992,58,Cat 6,1,1,24.35,1423.85,No
1077,58,Cat 6,1,1,24.5,1497.9,No
1187,58,Cat 6,1,1,61.05,3478.75,No
1379,58,Cat 6,1,1,66.8,3970.4,No
1417,58,Cat 6,0,0,55.5,3166.9,No
1442,58,Cat 6,1,1,97.8,5458.8,No
1654,58,Cat 6,1,0,20.75,1185.95,No
1762,58,Cat 6,1,1,24.45,1513.6,No
1766,58,Cat 6,1,1,110.65,6526.65,No
1982,58,Cat 6,1,1,102.1,5885.4,Yes
1989,58,Cat 6,1,1,108.85,6287.25,Yes
2228,58,Cat 6,1,0,19.55,1108.8,No
2585,58,Cat 6,1,0,65.25,3791.6,No
2807,58,Cat 6,1,1,86.1,4890.5,No
2890,58,Cat 6,0,0,50,2919.85,No
3102,58,Cat 6,1,1,79.8,4526.85,No
3175,58,Cat 6,0,0,45,2689.35,No
3187,58,Cat 6,1,0,20.3,1160.75,No
3193,58,Cat 6,1,0,19.15,1035.5,No
3387,58,Cat 6,1,1,68.4,3972.25,No
3393,58,Cat 6,1,0,44.1,2413.05,No
3397,58,Cat 6,1,0,99.25,5846.65,No
3447,58,Cat 6,1,1,107.75,6332.75,No
3501,58,Cat 6,1,1,94.3,5610.15,No
3788,58,Cat 6,1,0,95.3,5817.7,No
3819,58,Cat 6,1,1,109.1,6393.65,No
3850,58,Cat 6,1,1,109.45,6144.55,Yes
4049,58,Cat 6,0,0,59.75,3624.35,No
4051,58,Cat 6,1,1,98.9,5780.7,No
4075,58,Cat 6,1,1,98.7,5812.6,Yes
4419,58,Cat 6,1,0,60.3,3563.8,Yes
4582,58,Cat 6,1,0,20.8,1212.25,No
4714,58,Cat 6,1,1,105.05,6004.85,No
4764,58,Cat 6,1,0,91.55,5511.65,No
4821,58,Cat 6,1,1,84.3,4916.4,No
4872,58,Cat 6,1,0,75.2,4300.8,No
4906,58,Cat 6,1,0,19.85,1158.85,No
4992,58,Cat 6,1,0,106.45,6145.85,Yes
5231,58,Cat 6,1,1,94.35,5563.65,No
5324,58,Cat 6,1,1,105.2,6225.4,No
5379,58,Cat 6,1,1,75.8,4415.75,No
5612,58,Cat 6,1,1,100.4,5749.8,No
5633,58,Cat 6,1,0,20.3,1131.5,No
5685,58,Cat 6,1,0,105.5,6205.5,Yes
5724,58,Cat 6,1,1,80.65,4807.35,No
5776,58,Cat 6,1,1,82.5,4828.05,No
6057,58,Cat 6,1,1,71.1,4299.2,No
6131,58,Cat 6,1,0,64.9,3795.45,No
6217,58,Cat 6,1,1,71.6,4230.25,No
6235,58,Cat 6,1,1,25.3,1474.35,No
6390,58,Cat 6,1,0,19.55,1079.65,No
6416,58,Cat 6,0,0,45.35,2540.1,No
6434,58,Cat 6,1,0,20.5,1191.4,No
6447,58,Cat 6,1,1,89.85,5125.75,No
6449,58,Cat 6,1,1,104.65,6219.6,Yes
6508,58,Cat 6,1,1,93.4,5435.6,Yes
6857,58,Cat 6,1,1,25.15,1509.9,No
6858,58,Cat 6,1,0,92.85,5305.05,No
6932,58,Cat 6,1,0,99.15,5720.95,No
139,57,Cat 6,1,0,19.6,1170.55,No
216,57,Cat 6,0,0,58.75,3437.45,No
263,57,Cat 6,1,1,89.85,4925.35,No
272,57,Cat 6,1,0,59.75,3450.15,No
619,57,Cat 6,1,1,87.55,4884.85,No
665,57,Cat 6,1,0,19.5,1167.6,No
872,57,Cat 6,1,0,97.55,5598,No
1183,57,Cat 6,0,0,53.75,3196,No
1346,57,Cat 6,1,1,100.75,5985,No
1789,57,Cat 6,1,0,19.6,1134.25,No
1833,57,Cat 6,0,0,44.85,2572.95,Yes
1979,57,Cat 6,1,0,69.75,3894.4,No
2004,57,Cat 6,1,0,95.25,5464.65,Yes
2159,57,Cat 6,1,1,84.5,4845.4,No
2207,57,Cat 6,1,1,95.25,5427.05,Yes
2310,57,Cat 6,1,1,90.45,5229.8,No
2330,57,Cat 6,1,1,94.7,5468.95,No
2334,57,Cat 6,1,1,65.2,3687.85,No
2425,57,Cat 6,1,1,112.95,6465,Yes
2458,57,Cat 6,1,0,90.65,5199.8,No
2584,57,Cat 6,1,0,69.85,4003,No
2592,57,Cat 6,1,1,100.6,5611.7,No
2792,57,Cat 6,1,0,74.35,4317.35,No
2871,57,Cat 6,1,1,107.95,5969.85,No
2980,57,Cat 6,1,0,53.5,3035.8,No
3364,57,Cat 6,0,0,57.5,3265.95,No
3373,57,Cat 6,1,1,104.9,5913.95,No
3522,57,Cat 6,1,0,53.45,3053,No
3719,57,Cat 6,1,1,99.65,5497.05,No
3731,57,Cat 6,1,1,104.5,5921.35,Yes
3771,57,Cat 6,1,0,19.9,1115.6,No
3835,57,Cat 6,1,0,70.1,3913.3,Yes
4129,57,Cat 6,0,0,39.3,2111.45,Yes
4152,57,Cat 6,0,0,55,3094.05,No
4239,57,Cat 6,1,0,19.4,1061.6,No
4262,57,Cat 6,1,0,54.65,3134.7,No
4412,57,Cat 6,0,0,49.9,2782.4,No
4475,57,Cat 6,0,0,53.35,3090.05,No
4520,57,Cat 6,1,1,109.4,6252.7,No
4591,57,Cat 6,1,1,101.3,5779.6,No
4859,57,Cat 6,1,0,59.6,3509.4,No
4864,57,Cat 6,1,0,20.75,1123.15,No
4895,57,Cat 6,1,1,71.1,4140.1,No
5089,57,Cat 6,1,0,19.75,1272.05,No
5127,57,Cat 6,1,1,103.05,5925.75,No
5168,57,Cat 6,1,0,70.35,4124.65,No
5297,57,Cat 6,0,0,41.1,2258.25,No
5417,57,Cat 6,1,0,95,5535.8,No
5765,57,Cat 6,1,1,93.75,5625.55,No
5808,57,Cat 6,1,0,18.8,1094.35,No
5946,57,Cat 6,1,0,95.3,5567.45,No
5978,57,Cat 6,1,0,20.65,1125.6,No
5986,57,Cat 6,1,1,74.6,4368.95,No
6095,57,Cat 6,1,0,20.55,1252.85,No
6125,57,Cat 6,1,0,59.3,3274.35,No
6275,57,Cat 6,1,1,86.9,4939.25,No
6337,57,Cat 6,1,1,74.3,4018.35,No
6599,57,Cat 6,1,0,74.3,4166.35,No
6639,57,Cat 6,1,0,20.75,1118.8,No
6718,57,Cat 6,1,1,100.6,5746.15,Yes
6768,57,Cat 6,1,0,55.7,3171.6,No
6776,57,Cat 6,1,1,79.75,4438.2,No
6815,57,Cat 6,1,1,94,5438.95,No
6912,57,Cat 6,1,0,20.1,1087.7,No
6996,57,Cat 6,1,1,89.55,5012.35,No
76,56,Cat 6,1,1,110.5,6139.5,No
121,56,Cat 6,1,1,99.8,5515.45,No
374,56,Cat 6,1,1,99.75,5608.4,No
514,56,Cat 6,1,1,105.45,5916.95,No
530,56,Cat 6,1,1,99.9,5706.3,No
556,56,Cat 6,1,1,68.75,3808,No
561,56,Cat 6,1,1,107.25,6033.3,No
574,56,Cat 6,1,1,100.3,5614.45,Yes
639,56,Cat 6,1,1,104.55,5794.65,Yes
904,56,Cat 6,1,0,105.6,6068.65,No
964,56,Cat 6,1,1,73.25,4054.2,No
991,56,Cat 6,1,0,80.3,4513.65,No
1039,56,Cat 6,1,0,80.9,4557.5,No
1210,56,Cat 6,1,1,93.15,5253.95,No
1251,56,Cat 6,1,1,103.2,5744.35,No
1266,56,Cat 6,1,0,94.8,5264.3,No
1488,56,Cat 6,1,1,106.8,5914.4,No
1518,56,Cat 6,1,1,100.55,5514.95,No
1583,56,Cat 6,1,1,65.2,3512.15,No
1625,56,Cat 6,1,1,98.25,5508.35,Yes
1681,56,Cat 6,1,1,24.45,1431.65,No
1746,56,Cat 6,1,0,19.8,1119.9,No
1842,56,Cat 6,1,1,24.3,1261.7,No
1905,56,Cat 6,1,1,94.45,5124.6,Yes
2076,56,Cat 6,1,1,101.05,5594,No
2136,56,Cat 6,1,1,106.6,5893.95,No
2183,56,Cat 6,1,1,103.2,5873.75,No
2193,56,Cat 6,1,0,85.65,4824.45,No
2194,56,Cat 6,1,0,21.2,1238.65,No
2242,56,Cat 6,1,1,24.95,1468.9,No
2259,56,Cat 6,1,0,52.7,3019.7,No
2338,56,Cat 6,1,1,104.75,5510.65,Yes
2480,56,Cat 6,1,1,75.85,4261.2,No
2551,56,Cat 6,1,0,20.05,1090.1,No
2626,56,Cat 6,1,1,86.4,4922.4,No
2647,56,Cat 6,1,0,81.8,4534.45,No
2720,56,Cat 6,1,0,72.6,4084.35,No
2950,56,Cat 6,1,0,60.25,3282.75,No
3110,56,Cat 6,1,1,25.95,1444.05,No
3391,56,Cat 6,1,0,19.95,1126.75,No
3402,56,Cat 6,1,0,19.55,1080.55,No
3473,56,Cat 6,1,1,104.75,5841.35,No
3896,56,Cat 6,1,1,24.15,1402.25,No
3949,56,Cat 6,1,0,88.9,4968,No
4030,56,Cat 6,0,0,45.05,2560.1,No
4067,56,Cat 6,1,1,64.65,3665.55,No
4128,56,Cat 6,1,1,24.8,1424.2,No
4134,56,Cat 6,1,1,98.6,5581.05,No
4236,56,Cat 6,1,1,95.65,5471.75,No
4240,56,Cat 6,0,0,36.1,1971.5,No
4249,56,Cat 6,1,1,90.55,5116.6,No
4273,56,Cat 6,1,1,25.15,1327.15,Yes
4319,56,Cat 6,1,0,75.75,4284.65,No
4364,56,Cat 6,1,1,85.6,4902.8,No
4552,56,Cat 6,1,1,96.95,5432.2,No
4601,56,Cat 6,1,1,115.85,6567.9,No
4692,56,Cat 6,1,1,100.65,5688.05,Yes
4709,56,Cat 6,1,0,61.3,3346.8,No
4710,56,Cat 6,1,1,96.85,5219.65,No
4737,56,Cat 6,1,1,81.25,4620.4,No
4744,56,Cat 6,1,1,59.5,3389.25,No
4759,56,Cat 6,1,0,19.7,1051.9,No
4822,56,Cat 6,0,0,54.05,2959.8,No
4980,56,Cat 6,1,1,24.45,1385.85,No
5052,56,Cat 6,1,1,105.35,5794.45,No
5279,56,Cat 6,1,1,109.6,5953,No
5314,56,Cat 6,1,0,89.7,4952.95,No
5380,56,Cat 6,1,1,98,5270.6,No
5383,56,Cat 6,0,0,52,2884.9,No
5563,56,Cat 6,1,1,76.85,4275.75,No
5941,56,Cat 6,1,0,85.85,4793.8,No
6128,56,Cat 6,1,1,109.8,6109.65,No
6254,56,Cat 6,0,0,44.85,2564.95,No
6506,56,Cat 6,1,0,59.8,3457.45,No
6560,56,Cat 6,1,0,98.7,5669.5,No
6754,56,Cat 6,1,1,68.75,3815.4,No
6793,56,Cat 6,1,1,24.9,1334,Yes
6903,56,Cat 6,1,1,68.45,4014,No
6927,56,Cat 6,1,0,73.85,4092.85,Yes
6973,56,Cat 6,1,1,111.95,6418.9,Yes
111,55,Cat 6,1,1,96.75,5238.9,Yes
387,55,Cat 6,1,1,85.45,4874.7,Yes
426,55,Cat 6,1,1,51.65,2838.55,No
523,55,Cat 6,1,1,85.5,4713.4,No
553,55,Cat 6,1,0,19.35,1153.25,No
818,55,Cat 6,1,0,103.7,5656.75,No
841,55,Cat 6,1,1,100,5509.3,Yes
1255,55,Cat 6,1,0,88.8,4805.3,No
1276,55,Cat 6,1,0,56.8,3112.05,No
1566,55,Cat 6,1,0,81.55,4509.5,No
1706,55,Cat 6,1,1,90.45,5044.8,No
1848,55,Cat 6,1,0,19.4,1083,No
1947,55,Cat 6,1,1,90.4,5099.15,No
2107,55,Cat 6,1,0,59.45,3157,No
2121,55,Cat 6,1,0,21,1210.3,No
2359,55,Cat 6,1,0,19.7,1140.05,No
2633,55,Cat 6,1,0,64.75,3617.1,No
2797,55,Cat 6,1,1,89.8,4959.6,No
2800,55,Cat 6,1,0,19.1,1001.5,No
2933,55,Cat 6,1,1,113.6,6292.7,No
2987,55,Cat 6,1,0,69.05,3842.6,No
3101,55,Cat 6,1,1,94.45,5073.1,No
3281,55,Cat 6,1,0,58.6,3068.6,No
3337,55,Cat 6,1,0,20.3,1079.05,No
3462,55,Cat 6,1,0,55.7,3131.8,No
3602,55,Cat 6,1,0,20,1087.25,No
3614,55,Cat 6,0,0,50.05,2743.45,No
3712,55,Cat 6,1,1,75.75,4264.25,No
3753,55,Cat 6,1,0,59.2,3175.85,No
3769,55,Cat 6,1,1,77.75,4266.4,No
3781,55,Cat 6,1,0,55.25,3119.9,No
4008,55,Cat 6,1,1,25.7,1443.65,No
4071,55,Cat 6,1,1,74,4052.4,No
4135,55,Cat 6,1,1,103.65,5676.65,No
4200,55,Cat 6,1,1,104.15,5743.05,Yes
4221,55,Cat 6,1,0,19.5,1026.35,No
4387,55,Cat 6,1,0,57.55,3046.4,Yes
4503,55,Cat 6,1,1,96.8,5283.95,Yes
4609,55,Cat 6,1,1,77.8,4323.35,No
4797,55,Cat 6,1,0,94.75,5276.1,No
4817,55,Cat 6,1,1,75,4213.9,No
5062,55,Cat 6,1,1,76.25,4154.55,No
5096,55,Cat 6,1,0,45.05,2462.6,No
5138,55,Cat 6,1,1,116.5,6382.55,No
5153,55,Cat 6,1,1,25.65,1388,No
5242,55,Cat 6,1,0,64.2,3627.3,No
5264,55,Cat 6,0,0,44.85,2479.05,No
5329,55,Cat 6,1,1,66.05,3462.1,No
5434,55,Cat 6,1,0,100.9,5552.05,No
5484,55,Cat 6,1,1,77.75,4458.15,Yes
5521,55,Cat 6,1,1,84.25,4589.85,No
5536,55,Cat 6,1,1,85.1,4657.95,No
5599,55,Cat 6,1,0,19.15,998.1,No
5856,55,Cat 6,1,0,50.55,2832.75,No
6079,55,Cat 6,1,1,90.15,4916.95,No
6312,55,Cat 6,1,1,100.15,5409.75,No
6338,55,Cat 6,1,1,100.9,5448.6,No
6360,55,Cat 6,1,0,79.4,4238.45,No
6400,55,Cat 6,1,1,73.1,4144.9,No
6526,55,Cat 6,1,0,20.5,1177.95,No
6594,55,Cat 6,0,0,54.55,2978.3,Yes
6796,55,Cat 6,1,1,85.1,4600.95,No
6820,55,Cat 6,1,1,98.8,5617.75,Yes
7032,55,Cat 6,1,1,60,3316.1,No
231,54,Cat 6,1,1,108,5760.65,No
321,54,Cat 6,1,1,82.45,4350.1,Yes
443,54,Cat 6,1,1,114.65,6049.5,No
945,54,Cat 6,1,1,104.1,5645.8,No
1104,54,Cat 6,1,1,105.2,5637.85,No
1217,54,Cat 6,1,0,20.4,1090.6,No
1235,54,Cat 6,1,0,105.85,5826.65,No
1369,54,Cat 6,1,0,84.4,4484.05,No
1508,54,Cat 6,1,0,19.65,1008.7,No
1624,54,Cat 6,1,1,97.2,5129.45,No
1696,54,Cat 6,1,1,70.7,3770,No
1749,54,Cat 6,1,0,20.05,1102.4,No
1758,54,Cat 6,1,0,79.95,4362.05,No
1790,54,Cat 6,0,0,30.4,1621.35,No
1839,54,Cat 6,1,1,90.05,4931.8,No
2003,54,Cat 6,0,0,45.2,2460.55,No
2139,54,Cat 6,1,0,69.95,3871.85,No
2234,54,Cat 6,1,0,69.9,3883.3,No
2293,54,Cat 6,1,1,91.3,4965,No
2298,54,Cat 6,1,1,110.35,5893.15,Yes
2715,54,Cat 6,1,1,95.1,5064.85,No
2924,54,Cat 6,1,0,89.8,4667,No
3013,54,Cat 6,1,1,65.65,3566.7,No
3201,54,Cat 6,1,1,104.3,5278.15,Yes
3241,54,Cat 6,1,1,106.55,5763.3,Yes
3355,54,Cat 6,0,0,44.1,2369.7,No
3419,54,Cat 6,1,1,109.55,6118.95,No
3673,54,Cat 6,1,1,70.15,3715.65,Yes
3789,54,Cat 6,1,0,109.75,6110.2,Yes
3860,54,Cat 6,1,1,94.75,5121.75,No
3995,54,Cat 6,1,1,101.5,5373.1,Yes
4056,54,Cat 6,0,0,46.2,2431.95,No
4061,54,Cat 6,1,1,63.35,3409.1,No
4290,54,Cat 6,1,0,20.1,1079.45,No
4333,54,Cat 6,1,1,60,3273.95,No
4491,54,Cat 6,1,1,115.6,6431.05,No
4493,54,Cat 6,1,1,24.05,1230.9,No
4614,54,Cat 6,1,1,79.5,4370.25,Yes
4703,54,Cat 6,0,0,55.45,2966.95,No
4809,54,Cat 6,1,0,80.6,4299.95,No
4831,54,Cat 6,1,0,74.55,4191.45,No
4851,54,Cat 6,1,0,100.05,5299.65,No
5049,54,Cat 6,1,0,99.1,5437.1,No
5173,54,Cat 6,1,0,20,1149.65,No
5262,54,Cat 6,1,1,110.45,6077.75,No
5298,54,Cat 6,1,0,20.35,1092.35,No
5372,54,Cat 6,1,1,103.95,5639.05,Yes
5404,54,Cat 6,1,1,86.2,4524.05,No
5476,54,Cat 6,1,1,55,3092.65,Yes
5487,54,Cat 6,1,1,87.1,4735.2,No
5526,54,Cat 6,1,1,24.75,1342.15,No
6015,54,Cat 6,1,0,94.1,5060.9,No
6179,54,Cat 6,1,0,18.95,1031.1,No
6239,54,Cat 6,1,1,74,3919.15,No
6245,54,Cat 6,1,1,99.05,5295.7,No
6247,54,Cat 6,1,0,65.3,3512.9,No
6273,54,Cat 6,1,0,61,3283.05,No
6313,54,Cat 6,1,0,105.4,5643.4,Yes
6320,54,Cat 6,0,0,24.95,1364.75,No
6398,54,Cat 6,1,0,65.25,3529.95,No
6403,54,Cat 6,1,1,59.8,3246.45,No
6582,54,Cat 6,1,1,72.1,3886.05,No
6700,54,Cat 6,1,0,20.5,1035.7,No
6746,54,Cat 6,1,1,100.1,5440.9,Yes
6854,54,Cat 6,1,1,111.1,6014.85,Yes
6896,54,Cat 6,0,0,46,2424.05,No
6920,54,Cat 6,1,1,89.4,4869.5,No
6922,54,Cat 6,1,1,79.85,4308.25,No
164,53,Cat 6,1,1,73.9,3958.25,No
174,53,Cat 6,1,0,94.85,5000.2,Yes
671,53,Cat 6,1,0,19.85,1039.45,No
672,53,Cat 6,1,1,25.55,1336.1,No
898,53,Cat 6,1,1,105.55,5682.25,No
1006,53,Cat 6,1,1,95.85,5016.25,No
1157,53,Cat 6,1,0,18.7,1005.7,No
1184,53,Cat 6,1,0,93.45,4872.2,No
1203,53,Cat 6,1,0,94.25,4867.95,Yes
1272,53,Cat 6,0,0,53.6,2879.2,No
1556,53,Cat 6,1,0,106.1,5769.75,Yes
1617,53,Cat 6,1,0,19.4,1110.35,No
1657,53,Cat 6,1,1,90.8,4921.2,No
1932,53,Cat 6,1,1,111.8,5809.75,No
1969,53,Cat 6,1,0,100.3,5200.8,No
2012,53,Cat 6,1,1,85.7,4616.1,No
2179,53,Cat 6,1,0,19.9,1110.05,No
2286,53,Cat 6,1,1,93.9,5029.2,Yes
2472,53,Cat 6,1,1,98.4,5149.5,Yes
2476,53,Cat 6,1,0,99.5,5424.25,No
2523,53,Cat 6,1,1,78.75,3942.45,No
2577,53,Cat 6,1,0,108.25,5935.1,No
2705,53,Cat 6,1,0,60.6,3297,No
2776,53,Cat 6,1,1,60.05,3229.65,Yes
2821,53,Cat 6,1,1,24.05,1301.9,No
2939,53,Cat 6,1,1,97.75,5043.2,No
2941,53,Cat 6,0,0,54.45,2854.55,Yes
3229,53,Cat 6,1,1,105.25,5576.3,No
3371,53,Cat 6,0,0,48.7,2495.2,No
3412,53,Cat 6,1,1,101.9,5549.4,Yes
3430,53,Cat 6,1,0,19.55,1007.9,No
3431,53,Cat 6,1,0,95.95,5036.9,No
3512,53,Cat 6,1,1,24.6,1279,No
3567,53,Cat 6,1,1,84.6,4449.75,No
3644,53,Cat 6,1,0,19.05,990.45,No
3818,53,Cat 6,1,0,20.25,1048.45,No
3856,53,Cat 6,1,0,65,3363.8,No
3904,53,Cat 6,1,0,80.6,4348.1,No
4076,53,Cat 6,0,0,46.3,2546.85,No
4116,53,Cat 6,1,1,77.4,4155.95,No
4123,53,Cat 6,1,0,62.85,3419.5,No
4558,53,Cat 6,0,0,54.9,3045.75,No
4775,53,Cat 6,1,1,91.15,4862.5,No
4782,53,Cat 6,1,0,19.5,1050.5,No
4796,53,Cat 6,1,0,20.8,1021.8,Yes
4820,53,Cat 6,1,0,19.75,1052.35,Yes
4854,53,Cat 6,1,0,94.45,5042.75,No
4891,53,Cat 6,1,0,92.55,4779.45,No
5056,53,Cat 6,1,1,25.1,1275.6,No
5082,53,Cat 6,1,0,69.7,3729.6,No
5179,53,Cat 6,1,1,108.95,5718.2,No
5211,53,Cat 6,0,0,60.45,3184.25,Yes
5295,53,Cat 6,1,1,104.05,5566.4,No
5351,53,Cat 6,1,1,69.7,3686.05,No
5386,53,Cat 6,1,1,85.45,4517.25,Yes
5468,53,Cat 6,1,1,98.6,5311.85,No
5757,53,Cat 6,1,0,19.85,1049.6,No
5781,53,Cat 6,1,0,20.2,1068.15,No
5839,53,Cat 6,1,1,71.85,3827.9,No
5878,53,Cat 6,1,1,106.95,5785.5,Yes
5980,53,Cat 6,1,0,19.65,978,No
6010,53,Cat 6,1,1,103.85,5485.5,Yes
6037,53,Cat 6,1,0,110.5,5835.5,No
6063,53,Cat 6,1,0,73.8,4003.85,No
6477,53,Cat 6,1,1,64.15,3491.55,No
6535,53,Cat 6,1,0,96.75,5206.55,No
6833,53,Cat 6,1,0,20.9,1146.05,No
6891,53,Cat 6,1,0,61.1,3357.9,No
6924,53,Cat 6,1,1,74.1,3833.95,No
6974,53,Cat 6,1,0,94,4871.45,No
17,52,Cat 6,1,0,20.65,1022.95,No
49,52,Cat 6,1,1,79.75,4217.8,No
72,52,Cat 6,1,0,20.4,1090.65,No
99,52,Cat 6,1,0,21,1107.2,No
112,52,Cat 6,1,0,57.95,3042.25,No
277,52,Cat 6,1,1,105.05,5624.85,Yes
306,52,Cat 6,1,1,24.8,1229.1,No
326,52,Cat 6,1,1,102.7,5138.1,No
427,52,Cat 6,1,1,105.1,5376.4,No
448,52,Cat 6,1,1,25.05,1270.25,No
504,52,Cat 6,1,0,84.05,4326.8,No
526,52,Cat 6,1,0,91.25,4738.3,No
587,52,Cat 6,1,0,63.25,3342.45,No
675,52,Cat 6,0,0,49.15,2550.9,Yes
689,52,Cat 6,0,0,30.1,1623.4,No
852,52,Cat 6,1,1,85.15,4461.85,No
1047,52,Cat 6,1,1,74,3877.65,No
1085,52,Cat 6,1,0,19.6,1012.4,No
1118,52,Cat 6,1,1,89.45,4577.75,No
1154,52,Cat 6,1,0,64.3,3410.6,No
1443,52,Cat 6,1,0,100.3,5244.45,No
1453,52,Cat 6,0,0,48.8,2555.05,No
1496,52,Cat 6,1,1,98.15,4993.4,No
1714,52,Cat 6,1,1,61.35,3169.55,No
1750,52,Cat 6,1,1,110.75,5832,No
1860,52,Cat 6,1,0,85.35,4338.6,Yes
1863,52,Cat 6,0,0,50.5,2566.3,No
2021,52,Cat 6,1,0,75.4,3865.45,No
2200,52,Cat 6,1,1,25.75,1345.85,No
2267,52,Cat 6,1,0,104.45,5481.25,No
2514,52,Cat 6,1,0,19.2,1054.75,No
2548,52,Cat 6,0,0,39.1,1982.1,No
2639,52,Cat 6,1,0,105,5426.85,Yes
2696,52,Cat 6,1,1,81.4,4354.45,No
2736,52,Cat 6,1,1,72.95,3829.75,No
2844,52,Cat 6,1,0,19.85,1070.5,No
2914,52,Cat 6,0,0,63.9,3334.95,No
2983,52,Cat 6,1,0,20.85,1071.6,No
3074,52,Cat 6,0,0,58.75,3038.55,No
3170,52,Cat 6,1,0,68.75,3482.85,No
3179,52,Cat 6,1,0,84.1,4348.65,Yes
3264,52,Cat 6,1,0,85.8,4433.3,No
3368,52,Cat 6,1,1,89.25,4652.4,No
3450,52,Cat 6,1,1,95.7,4976.15,No
3488,52,Cat 6,1,0,20.1,1078.75,No
3775,52,Cat 6,1,1,80.85,4079.55,No
3826,52,Cat 6,1,0,19.35,1031.7,No
3900,52,Cat 6,1,1,109.1,5647.95,No
3966,52,Cat 6,1,1,106.5,5621.85,No
4015,52,Cat 6,1,1,108.1,5839.3,No
4036,52,Cat 6,1,1,93.25,4631.7,No
4199,52,Cat 6,1,1,23.05,1255.1,No
4283,52,Cat 6,1,1,101.25,5301.1,No
4343,52,Cat 6,1,1,59.85,3103.25,No
4600,52,Cat 6,1,0,50.95,2610.65,No
4623,52,Cat 6,1,0,83.8,4331.4,No
4694,52,Cat 6,1,1,25.6,1334.5,No
4806,52,Cat 6,1,1,24.55,1331.05,No
4924,52,Cat 6,1,0,49.75,2535.55,No
5107,52,Cat 6,1,0,59.45,3043.7,No
5257,52,Cat 6,1,1,96.25,4990.25,Yes
5344,52,Cat 6,0,0,66.25,3330.1,No
5479,52,Cat 6,1,0,106.3,5487,No
5904,52,Cat 6,1,1,91.6,4627.8,No
5910,52,Cat 6,1,1,80.2,4297.6,No
6001,52,Cat 6,1,0,19.65,928.4,No
6106,52,Cat 6,1,1,111.25,5916.45,Yes
6130,52,Cat 6,0,0,39.9,2020.9,No
6142,52,Cat 6,1,1,104.2,5568.35,Yes
